instances/Instances_highcost_H3/abs1n10.dat;0.6891;5127.6951;5127.6951;0.0000;136.0000;76.0000
instances/Instances_highcost_H3/abs1n15.dat;14.5221;6061.1900;6060.5912;0.0001;538.0000;242.0000
instances/Instances_highcost_H3/abs1n20.dat;537.5223;7477.8200;7477.0904;0.0001;5843.0000;2420.0000
instances/Instances_highcost_H3/abs1n25.dat;1800.0518;9431.2700;6055.6319;0.3579;10541.0000;4179.0000
instances/Instances_highcost_H3/abs1n5.dat;0.0847;2150.1520;2150.1520;0.0000;30.0000;25.0000
instances/Instances_highcost_H3/abs2n10.dat;0.6613;4802.4700;4802.1465;0.0001;143.0000;85.0000
instances/Instances_highcost_H3/abs2n15.dat;14.6996;5849.2400;5849.1872;0.0000;656.0000;265.0000
instances/Instances_highcost_H3/abs2n20.dat;1800.0009;7407.1200;7073.0131;0.0451;5722.0000;2307.0000
instances/Instances_highcost_H3/abs2n25.dat;1800.0017;9966.2900;7385.8679;0.2589;15608.0000;5783.0000
instances/Instances_highcost_H3/abs2n5.dat;0.0815;2042.0358;2042.0358;0.0000;28.0000;21.0000
instances/Instances_highcost_H3/abs3n10.dat;0.7189;4275.0175;4275.0175;0.0000;161.0000;92.0000
instances/Instances_highcost_H3/abs3n15.dat;11.6874;6529.0825;6528.6097;0.0001;726.0000;357.0000
instances/Instances_highcost_H3/abs3n20.dat;683.2781;7903.9700;7903.2615;0.0001;5240.0000;1979.0000
instances/Instances_highcost_H3/abs3n25.dat;1800.0019;10657.0600;8184.3265;0.2320;12798.0000;4539.0000
instances/Instances_highcost_H3/abs3n5.dat;0.0665;3090.1592;3090.1592;0.0000;22.0000;19.0000
instances/Instances_highcost_H3/abs4n10.dat;0.5744;4324.2496;4324.2496;0.0000;95.0000;56.0000
instances/Instances_highcost_H3/abs4n15.dat;33.1470;5581.5400;5581.0421;0.0001;1143.0000;513.0000
instances/Instances_highcost_H3/abs4n20.dat;1800.0011;7050.9100;6783.8360;0.0379;6583.0000;2617.0000
instances/Instances_highcost_H3/abs4n25.dat;1800.0024;9853.9700;6005.6392;0.3905;11441.0000;4347.0000
instances/Instances_highcost_H3/abs4n5.dat;0.0935;2197.3675;2197.3675;0.0000;27.0000;25.0000
instances/Instances_highcost_H3/abs5n10.dat;0.5721;5293.6100;5293.6100;0.0000;153.0000;89.0000
instances/Instances_highcost_H3/abs5n15.dat;13.8504;5572.1500;5571.7400;0.0001;823.0000;356.0000
instances/Instances_highcost_H3/abs5n20.dat;195.6712;8405.8300;8405.0016;0.0001;3908.0000;1516.0000
instances/Instances_highcost_H3/abs5n25.dat;1800.0016;11053.6900;9048.7093;0.1814;9292.0000;3348.0000
instances/Instances_highcost_H3/abs5n5.dat;0.0745;2508.4183;2508.4183;0.0000;23.0000;17.0000
