instance;time;UB;LB;gap;cb_calls;cuts
abs1n5.dat;0.5341;3335.1250;3334.9858;0.0000;39.0000;37.0000
abs2n5.dat;0.5802;2722.5923;2722.5923;0.0000;36.0000;40.0000
abs3n5.dat;0.2561;4776.0000;4776.0000;0.0000;39.0000;21.0000
abs4n5.dat;0.3902;3244.7089;3244.7089;0.0000;39.0000;35.0000
abs5n5.dat;0.3577;2419.1283;2419.1283;0.0000;35.0000;21.0000
abs1n10.dat;11.9407;4500.1183;4499.8800;0.0001;253.0000;97.0000
abs2n10.dat;14.1007;5236.9800;5236.9800;0.0000;258.0000;128.0000
abs3n10.dat;48.9019;4652.5300;4652.0675;0.0001;324.0000;129.0000
abs4n10.dat;6.3967;5106.1047;5106.1047;0.0000;240.0000;99.0000
abs5n10.dat;18.5194;4670.7600;4670.3704;0.0001;335.0000;124.0000
abs1n15.dat;1800.0010;5462.6800;5087.0061;0.0688;1778.0000;454.0000
abs2n15.dat;1800.0007;5495.7400;5231.8438;0.0480;1741.0000;532.0000
abs3n15.dat;1313.5036;6060.3800;6059.7780;0.0001;1378.0000;417.0000
abs4n15.dat;1800.0019;5504.2839;5008.8184;0.0900;2239.0000;542.0000
abs5n15.dat;1128.1058;5309.4800;5308.9524;0.0001;1704.0000;600.0000
abs1n20.dat;1800.0045;7020.0300;3940.1169;0.4387;6744.0000;1486.0000
abs2n20.dat;1800.0037;6640.1600;1835.9729;0.7235;7618.0000;1537.0000
abs3n20.dat;1800.0221;7782.5200;3309.3879;0.5748;7324.0000;1471.0000
abs4n20.dat;1800.0060;8202.8700;2815.2662;0.6568;7299.0000;1540.0000
abs5n20.dat;1800.0014;7378.7300;5935.8779;0.1955;3774.0000;1123.0000
abs1n25.dat;1800.0065;9635.0500;1326.2251;0.8624;9830.0000;1965.0000
abs2n25.dat;1800.0044;9029.2000;2055.3059;0.7724;10902.0000;2136.0000
abs3n25.dat;1800.0118;10265.4500;2849.1053;0.7225;10528.0000;2138.0000
abs4n25.dat;1800.0134;9652.7000;1730.8118;0.8207;9861.0000;1997.0000
abs5n25.dat;1800.0667;9384.5100;3575.7804;0.6190;12475.0000;2422.0000
